id,value
id_0,4.9537414443464325
id_1,16.852524307786485
id_2,23.857534467205213
id_3,7.677100672992836
id_4,26.947832963886654
id_5,21.350414671220086
id_6,23.59788196133826
id_7,30.651437896699065
id_8,16.853537006766622
id_9,57.740324762534485
id_10,13.2995725176215
id_11,10.3240130864586
id_12,61.56249731228782
id_13,52.23586819243228
id_14,22.036324132831037
id_15,11.590364647986483
id_16,31.7952463197775
id_17,67.99792738692194
id_18,-0.19894250568488303
id_19,16.807933958643535
id_20,42.102929475556216
id_21,71.19827281980886
id_22,9.192083987558725
id_23,18.652592655567105
id_24,14.333071911939827
id_25,38.314798710448045
id_26,14.36168614760597
id_27,73.02585176228723
id_28,7.35927865212938
id_29,55.44190065211258
id_30,22.4729227292854
id_31,8.535545124733453
id_32,3.028734366461536
id_33,19.897036746541
id_34,29.61884137599099
id_35,37.022077063809036
id_36,43.008370690846895
id_37,30.63947678029279
id_38,42.84266079949889
id_39,35.42184242337105
id_40,7.442355935000819
id_41,40.438922006942065
id_42,31.342439813654412
id_43,50.067622421797864
id_44,16.19310802360189
id_45,35.61945566250484
id_46,24.513118239757212
id_47,10.352194949815463
id_48,24.159999785382038
id_49,32.72870670371435
id_50,20.06279423881477
id_51,8.83122343189099
id_52,21.261085265995572
id_53,53.20937359514838
id_54,15.532976438234876
id_55,35.49565667842545
id_56,32.35765141608079
id_57,22.71086233918637
id_58,57.889582010055506
id_59,21.81973989676007
id_60,15.088506337858309
id_61,42.441626588834986
id_62,12.525229277426122
id_63,49.92880631308282
id_64,14.876208837747594
id_65,16.09334516239865
id_66,14.143953064485345
id_67,-0.10065725061811803
id_68,42.810867425792125
id_69,30.63584956844245
id_70,20.760788178283192
id_71,40.02064476948531
id_72,59.83043208319911
id_73,4.981667780198814
id_74,17.118249079268562
id_75,5.42120270772347
id_76,39.1310166107412
id_77,14.384420983005391
id_78,22.938767325081727
id_79,22.031617199670173
id_80,24.74354019611279
id_81,37.31875960806552
id_82,22.229507378548504
id_83,91.75521590781938
id_84,35.79897001476547
id_85,26.52160541808014
id_86,22.137604360241767
id_87,31.648878490642083
id_88,24.062819899168456
id_89,21.983332389607405
id_90,29.398766691236858
id_91,40.71436780492601
